VISUAL_ID,LOTFROMFS,SUBSTRUCTURE_ID,SORT_LOT,SORT_WAFER,SORT_X,SORT_Y,FUSE_ID,Bin Description_119325,Cell ID_119325,Unit Tester Id_119325,Unit Tester Site Id_119325,DevRevStep_119325,Lot_119325,LOTS End Date Time_119325,LOTS End WW_119325,LOTS Temperature_119325,Operation_119325,Program Name_119325,Carrier X_119325,Carrier Y_119325,Sort Partial Wafer ID_119325,Thermal Head Id_119325,Unit TIU_119325,FUNCTIONAL_BIN_119325,INTERFACE_BIN_119325,DATA_BIN_119325,DATA_TOTAL_BIN_119325,INTERFACE_TOTAL_BIN_119325,FUNCTIONAL_TOTAL_BIN_119325,BOMGROUPNAME_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTDICCHIGHV1|PP_DICC_GT_V1_500MA_HIGH_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTDICCHIGHV2|PP_SICC_GT_V2_500MA_HIGH_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTDICCLOWV1|PP_DICC_GT_V1_500MA_LOW_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTDICCLOWV2|PP_SICC_GT_V2_500MA_LOW_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTDICCMIDV1|PP_SICC_GT_V1_500MA_MID_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTDICCMIDV2|PP_SICC_GT_V2_500MA_MID_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTSICC_24A_V1|PP_SICC_GT_V1_24A_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTSICC_24A_V2|PP_SICC_GT_V2_24A_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTSICC_24A_V3|PP_SICC_GT_V3_24A_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_ANADC_E_BEGIN_X_X_NOM_X_GTSICC_24A_V4|PP_SICC_GT_V4_24A_VCCGT_HC|VCCGT_HC|PC_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPP_CDYN_GT_V1_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPP_CDYN_GT_V2_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPP_SICC_GT_V1_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPP_SICC_GT_V2_119325,UPM_2007_DPMH130P48ULVTINVD4_FULLDIE_0650_MED_119325,UPM_2007_DPMH130P48ULVTINVD4_FULLDIE_0950_MED_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPP_DICC_GT_V1_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPP_DICC_GT_V2_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPWR_CDYN_119325,PTH_POWER_GXXX::POWER_X_SCREEN_K_BEGIN_X_X_X_X_GT_ICC_CALCPWR_DICC_119325,Material
EFUSE_Q615S1BA_009_-10_-1,Q615S1BA1,X,Q615S1BA,009,-10,-1,Q615S1BA_009_-10_-1,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,4,7,009T02,8B28421-D,EXABAHA008,101,1,1010001,1010000,1,101,UNDEFINED,10.0554,14.8594,5.6935,8.8179,7.7046,11.6368,1.5699,2.2311,1.1332,1.1798,31.1564,31.7974,1.5699,2.2311,4814.6471,7447.9361,5.6935|7.7046|10.0554,8.8179|11.6368|14.8594,^GT:31.1564%0.7%19.15,^GT:5.6935%0.7%19.15%200%7.7046%0.7%19.15%300%10.0554%0.7%19.15%400,AIO
EFUSE_Q615S1BA_009_-10_-2,Q615S1BA1,X,Q615S1BA,009,-10,-2,Q615S1BA_009_-10_-2,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,4,16,009T03,8B28421-D,EXABAHA008,101,1,1010001,1010000,1,101,UNDEFINED,9.9148,14.6815,5.5658,8.6308,7.5744,11.463,0.6425,2.1022,0.7585,1.0824,31.0643,31.8458,0.6425,2.1022,4752.8628,7377.8961,5.5658|7.5744|9.9148,8.6308|11.463|14.6815,^GT:31.0643%0.7%18.95,^GT:5.5658%0.7%18.95%200%7.5744%0.7%18.95%300%9.9148%0.7%18.95%400,AIO
EFUSE_Q615S1BA_009_-10_-3,Q615S1BA1,X,Q615S1BA,009,-10,-3,Q615S1BA_009_-10_-3,B19880000_FAIL_TPI_SIU_STATIC_SIUP_X_ICC_K_START_X_X_X_LFM_LOWV_P2_650MV_2,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,2,18,009T01,8B28421-D,EXABAHA008,1988,19,19880000,19880000,19,1988,UNDEFINED,,,,,,,,,,,,,,,,,,,,,AIO
EFUSE_Q615S1BA_009_-10_0,Q615S1BA1,X,Q615S1BA,009,-10,0,Q615S1BA_009_-10_0,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,5,16,009T01,8B18438-D,EXABAHA008,301,3,3010001,3030000,3,303,UNDEFINED,10.1198,14.983,5.7607,8.9202,7.7691,11.7323,0.6472,2.2894,0.9008,1.2579,31.1364,31.9095,0.6472,2.2894,4837.0173,7486.0186,5.7607|7.7691|10.1198,8.9202|11.7323|14.983,^GT:31.1364%0.7%19.9,^GT:5.7607%0.7%19.9%200%7.7691%0.7%19.9%300%10.1198%0.7%19.9%400,AIO
EFUSE_Q615S1BA_009_-10_1,Q615S1BA1,X,Q615S1BA,009,-10,1,Q615S1BA_009_-10_1,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,4,17,009T03,8B18438-D,EXABAHA008,301,3,3010001,3030000,3,303,UNDEFINED,10.1153,14.9697,5.7737,8.8991,7.7706,11.7313,0.6965,2.2994,1.0279,1.2715,31.0114,31.9505,0.6965,2.2993,4848.4687,7512.9161,5.7737|7.7706|10.1153,8.8991|11.7313|14.9697,^GT:31.0114%0.7%19.6,^GT:5.7737%0.7%19.6%200%7.7706%0.7%19.6%300%10.1153%0.7%19.6%400,AIO
EFUSE_Q615S1BA_009_-10_2,Q615S1BA1,X,Q615S1BA,009,-10,2,Q615S1BA_009_-10_2,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,4,6,009T02,8B18438-D,EXABAHA008,302,3,3020001,3030000,3,303,UNDEFINED,10.0345,14.8035,5.6893,8.7702,7.6947,11.5755,0.9487,2.1965,0.7998,1.2055,31.0371,31.7542,0.9487,2.1965,4819.1744,7471.6378,5.6893|7.6947|10.0345,8.7702|11.5755|14.8035,^GT:31.0371%0.7%19.799999999999997,^GT:5.6893%0.7%19.799999999999997%200%7.6947%0.7%19.799999999999997%300%10.0345%0.7%19.799999999999997%400,AIO
EFUSE_Q615S1BA_009_-1_-1,Q615S1BA1,X,Q615S1BA,009,-1,-1,Q615S1BA_009_-1_-1,B65000360_FAIL_ARR_GT_GXX_SSA_GT_VMIN_K_PREHVQK_X_X_NOM_X_ALL_SSA_0,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,4,17,009T02,8B28421-D,EXABAHA008,6500,65,65000360,65000360,65,6500,UNDEFINED,10.0242,14.7203,5.6396,8.6549,7.6488,11.4976,1.1907,2.1054,0.7245,1.0691,31.3186,31.9232,1.1907,2.1054,4763.7816,7453.7949,5.6396|7.6488|10.0242,8.6549|11.4976|14.7203,^GT:31.3186%0.7%19.05,^GT:5.6396%0.7%19.05%200%7.6488%0.7%19.05%300%10.0242%0.7%19.05%400,AIO
EFUSE_Q615S1BA_009_-1_-10,Q615S1BA1,X,Q615S1BA,009,-1,-10,Q615S1BA_009_-1_-10,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,7,5,009T02,8B18438-D,EXABAHA008,301,3,3010001,3030000,3,303,UNDEFINED,10.208,15.2547,5.8163,9.1453,7.8179,12.0075,0.666,2.4993,0.8917,1.3035,31.3693,32.1547,0.666,2.4993,4950.466,7638.8815,5.8163|7.8179|10.208,9.1453|12.0075|15.2547,^GT:31.3693%0.7%19.6,^GT:5.8163%0.7%19.6%200%7.8179%0.7%19.6%300%10.208%0.7%19.6%400,AIO
EFUSE_Q615S1BA_009_-1_-11,Q615S1BA1,X,Q615S1BA,009,-1,-11,Q615S1BA_009_-1_-11,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,1,13,009T01,8B18438-D,EXABAHA008,101,1,1010001,1010000,1,101,UNDEFINED,9.987,14.862,5.6336,8.8088,7.6448,11.628,0.7174,2.2668,0.776,1.1331,31.0957,31.8589,0.7174,2.2668,4833.8216,7488.4154,5.6336|7.6448|9.987,8.8088|11.628|14.862,^GT:31.0957%0.7%19.65,^GT:5.6336%0.7%19.65%200%7.6448%0.7%19.65%300%9.987%0.7%19.65%400,AIO
EFUSE_Q615S1BA_009_-1_-2,Q615S1BA1,X,Q615S1BA,009,-1,-2,Q615S1BA_009_-1_-2,,SDC2119,HDS2262,C101,8PL7CVA,Q615S1BA1,2026-08-12 04:41:10-07:00,202633,20.00,119325,NGXSDJXA0H80B002632,4,6,009T03,8B18438-D,EXABAHA008,101,1,1010001,1010000,1,101,UNDEFINED,10.1133,14.8603,5.7338,8.7991,7.7496,11.6325,0.643,2.1901,0.8822,1.1838,31.2821,31.9011,0.643,2.1901,4870.0399,7561.9174,5.7338|7.7496|10.1133,8.7991|11.6325|14.8603,^GT:31.2821%0.7%19.6,^GT:5.7338%0.7%19.6%200%7.7496%0.7%19.6%300%10.1133%0.7%19.6%400,AIO
