Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PF5CV,8PF5CV,1,8,-7,-1,1,1,4,A,E,A,D,B,E,SR_X-7Y-1,144.89899
8PF5CV,8PF5CV,1,9,-7,0,1,0,2,A,E,A,D,B,E,SR_X-7Y0,142.39877
8PF5CV,8PF5CV,1,10,-7,0,1,1,4,A,E,C,C,C,D,SR_X-7Y0,141.55556
8PF5CV,8PF5CV,1,11,-7,1,1,0,2,A,E,C,C,C,D,SR_X-7Y1,142.39877
8PF5CV,8PF5CV,1,12,-7,1,1,1,4,A,E,C,C,C,D,SR_X-7Y1,144.89899
8PF5CV,8PF5CV,2,6,-6,-2,0,1,3,A,E,A,D,B,E,SR_X-6Y-2,144.5847
8PF5CV,8PF5CV,3,5,-6,-2,1,0,2,A,E,A,D,B,E,SR_X-6Y-2,142.59239
8PF5CV,8PF5CV,3,6,-6,-2,1,1,4,A,D,A,D,B,E,SR_X-6Y-2,134.8246
8PF5CV,8PF5CV,2,8,-6,-1,0,1,3,A,D,A,D,B,E,SR_X-6Y-1,134.28148
8PF5CV,8PF5CV,3,7,-6,-1,1,0,2,A,D,A,D,B,E,SR_X-6Y-1,128.45866
8PF5CV,8PF5CV,3,8,-6,-1,1,1,4,A,D,A,D,B,E,SR_X-6Y-1,123.71118
8PF5CV,8PF5CV,2,7,-6,-1,0,0,1,A,D,A,D,B,E,SR_X-6Y-1,138.66756
8PF5CV,8PF5CV,2,10,-6,0,0,1,3,A,D,C,C,C,D,SR_X-6Y0,130.66667
8PF5CV,8PF5CV,3,9,-6,0,1,0,2,A,C,A,D,B,E,SR_X-6Y0,120.77314
8PF5CV,8PF5CV,3,10,-6,0,1,1,4,A,C,C,C,C,D,SR_X-6Y0,119.77778
8PF5CV,8PF5CV,2,9,-6,0,0,0,1,A,D,A,D,B,E,SR_X-6Y0,131.57968
8PF5CV,8PF5CV,2,12,-6,1,0,1,3,A,D,C,C,C,D,SR_X-6Y1,134.28148
8PF5CV,8PF5CV,3,11,-6,1,1,0,2,A,C,C,C,C,D,SR_X-6Y1,120.77314
8PF5CV,8PF5CV,3,12,-6,1,1,1,4,A,D,C,C,C,D,SR_X-6Y1,123.71118
8PF5CV,8PF5CV,2,11,-6,1,0,0,1,A,D,C,C,C,D,SR_X-6Y1,131.57968
8PF5CV,8PF5CV,2,14,-6,2,0,1,3,A,E,C,C,C,D,SR_X-6Y2,144.5847
8PF5CV,8PF5CV,3,13,-6,2,1,0,2,A,D,C,C,C,D,SR_X-6Y2,128.45866
8PF5CV,8PF5CV,3,14,-6,2,1,1,4,A,D,C,C,C,D,SR_X-6Y2,134.8246
8PF5CV,8PF5CV,2,13,-6,2,0,0,1,A,D,C,C,C,D,SR_X-6Y2,138.66756
8PF5CV,8PF5CV,3,15,-6,3,1,0,2,A,E,C,C,D,D,SR_X-6Y3,142.59239
8PF5CV,8PF5CV,4,4,-5,-3,0,1,3,A,E,A,D,A,E,SR_X-5Y-3,143.09593
8PF5CV,8PF5CV,5,4,-5,-3,1,1,4,A,D,A,D,A,E,SR_X-5Y-3,134.99503
8PF5CV,8PF5CV,4,6,-5,-2,0,1,3,A,D,A,D,B,E,SR_X-5Y-2,125.25074
8PF5CV,8PF5CV,5,5,-5,-2,1,0,2,A,D,A,D,B,E,SR_X-5Y-2,124.85941
8PF5CV,8PF5CV,5,6,-5,-2,1,1,4,A,C,A,D,B,E,SR_X-5Y-2,115.90927
8PF5CV,8PF5CV,4,5,-5,-2,0,0,1,A,D,A,D,B,E,SR_X-5Y-2,133.57643
8PF5CV,8PF5CV,4,8,-5,-1,0,1,3,A,C,A,D,B,E,SR_X-5Y-1,113.20128
