Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PF6CV,8PF6CV,2,8,-7,-1,2,1,6,A,E,A,D,B,E,SR_X-7Y-1,140.20239
8PF6CV,8PF6CV,1,10,-7,0,1,1,5,A,E,C,C,C,D,SR_X-7Y0,143.58139
8PF6CV,8PF6CV,2,9,-7,0,2,0,3,A,E,A,D,B,E,SR_X-7Y0,137.61688
8PF6CV,8PF6CV,2,10,-7,0,2,1,6,A,E,C,C,C,D,SR_X-7Y0,136.74419
8PF6CV,8PF6CV,2,11,-7,1,2,0,3,A,E,C,C,C,D,SR_X-7Y1,137.61688
8PF6CV,8PF6CV,2,12,-7,1,2,1,6,A,E,C,C,C,D,SR_X-7Y1,140.20239
8PF6CV,8PF6CV,4,6,-6,-2,1,1,5,A,E,A,D,B,E,SR_X-6Y-2,137.75749
8PF6CV,8PF6CV,5,5,-6,-2,2,0,3,A,E,A,D,B,E,SR_X-6Y-2,139.62766
8PF6CV,8PF6CV,5,6,-6,-2,2,1,6,A,D,A,D,B,E,SR_X-6Y-2,131.6851
8PF6CV,8PF6CV,3,8,-6,-1,0,1,4,A,D,A,D,B,E,SR_X-6Y-1,133.54236
8PF6CV,8PF6CV,4,7,-6,-1,1,0,2,A,D,A,D,B,E,SR_X-6Y-1,131.53357
8PF6CV,8PF6CV,4,8,-6,-1,1,1,5,A,D,A,D,B,E,SR_X-6Y-1,126.90117
8PF6CV,8PF6CV,5,7,-6,-1,2,0,3,A,D,A,D,B,E,SR_X-6Y-1,125.15958
8PF6CV,8PF6CV,5,8,-6,-1,2,1,6,A,D,A,D,B,E,SR_X-6Y-1,120.28195
8PF6CV,8PF6CV,3,7,-6,-1,0,0,1,A,E,A,D,B,E,SR_X-6Y-1,137.95193
8PF6CV,8PF6CV,3,10,-6,0,0,1,4,A,D,C,C,C,D,SR_X-6Y0,129.90698
