Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PL7CV,8PL7CV,2,7,-5,-2,1,0,2,A,E,A,D,B,E,SR_X-5Y-2,140.47719
8PL7CV,8PL7CV,2,8,-5,-2,1,1,4,A,D,A,D,B,E,SR_X-5Y-2,135.29651
8PL7CV,8PL7CV,1,10,-5,-1,0,1,3,A,E,A,D,B,E,SR_X-5Y-1,141.74277
8PL7CV,8PL7CV,2,9,-5,-1,1,0,2,A,D,A,D,B,E,SR_X-5Y-1,131.2769
8PL7CV,8PL7CV,2,10,-5,-1,1,1,4,A,D,A,D,B,E,SR_X-5Y-1,128.52734
8PL7CV,8PL7CV,1,9,-5,-1,0,0,1,A,E,A,D,B,E,SR_X-5Y-1,144.24063
8PL7CV,8PL7CV,1,12,-5,0,0,1,3,A,E,C,C,C,D,SR_X-5Y0,140.47719
8PL7CV,8PL7CV,2,11,-5,0,1,0,2,A,D,A,D,B,E,SR_X-5Y0,127.13026
8PL7CV,8PL7CV,2,12,-5,0,1,1,4,A,D,C,C,C,D,SR_X-5Y0,127.13026
8PL7CV,8PL7CV,1,11,-5,0,0,0,1,A,E,A,D,B,E,SR_X-5Y0,140.47719
8PL7CV,8PL7CV,1,14,-5,1,0,1,3,A,E,C,C,C,D,SR_X-5Y1,144.24063
8PL7CV,8PL7CV,2,13,-5,1,1,0,2,A,D,C,C,C,D,SR_X-5Y1,128.52734
8PL7CV,8PL7CV,2,14,-5,1,1,1,4,A,D,C,C,C,D,SR_X-5Y1,131.2769
8PL7CV,8PL7CV,1,13,-5,1,0,0,1,A,E,C,C,C,D,SR_X-5Y1,141.74277
8PL7CV,8PL7CV,2,15,-5,2,1,0,2,A,D,C,C,C,D,SR_X-5Y2,135.29651
8PL7CV,8PL7CV,2,16,-5,2,1,1,4,A,D,C,C,C,D,SR_X-5Y2,140.47719
8PL7CV,8PL7CV,4,4,-4,-4,1,1,4,A,E,A,D,A,F,SR_X-4Y-4,141.74277
8PL7CV,8PL7CV,3,6,-4,-3,0,1,3,A,D,A,D,B,E,SR_X-4Y-3,135.29651
8PL7CV,8PL7CV,4,5,-4,-3,1,0,2,A,D,A,D,A,E,SR_X-4Y-3,132.63031
8PL7CV,8PL7CV,4,6,-4,-3,1,1,4,A,D,A,D,B,E,SR_X-4Y-3,124.289
8PL7CV,8PL7CV,3,5,-4,-3,0,0,1,A,E,A,D,A,E,SR_X-4Y-3,142.99715
8PL7CV,8PL7CV,3,8,-4,-2,0,1,3,A,D,A,D,B,E,SR_X-4Y-2,122.84373
8PL7CV,8PL7CV,4,7,-4,-2,1,0,2,A,C,A,D,B,E,SR_X-4Y-2,116.88408
