Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PY6CV,8PY6CV,2,13,-7,-1,2,0,3,A,E,A,D,B,E,SR_X-7Y-1,143.93221
8PY6CV,8PY6CV,2,14,-7,-1,2,1,6,A,E,A,D,B,E,SR_X-7Y-1,141.59637
8PY6CV,8PY6CV,1,16,-7,-1,1,3,11,A,E,A,D,B,E,SR_X-7Y-1,145.02571
8PY6CV,8PY6CV,2,15,-7,-1,2,2,9,A,E,A,D,B,E,SR_X-7Y-1,139.6996
8PY6CV,8PY6CV,2,16,-7,-1,2,3,12,A,E,A,D,B,E,SR_X-7Y-1,138.25995
8PY6CV,8PY6CV,1,17,-7,0,1,0,2,A,E,A,D,B,E,SR_X-7Y0,144.10301
8PY6CV,8PY6CV,1,18,-7,0,1,1,5,A,E,A,D,B,E,SR_X-7Y0,143.63945
8PY6CV,8PY6CV,2,17,-7,0,2,0,3,A,E,A,D,B,E,SR_X-7Y0,137.29179
8PY6CV,8PY6CV,1,19,-7,0,1,2,8,A,E,C,C,C,D,SR_X-7Y0,143.63945
8PY6CV,8PY6CV,2,18,-7,0,2,1,6,A,D,A,D,B,E,SR_X-7Y0,136.80515
8PY6CV,8PY6CV,1,20,-7,0,1,3,11,A,E,C,C,C,D,SR_X-7Y0,144.10301
8PY6CV,8PY6CV,2,19,-7,0,2,2,9,A,E,C,C,C,D,SR_X-7Y0,136.80515
8PY6CV,8PY6CV,2,20,-7,0,2,3,12,A,E,C,C,C,D,SR_X-7Y0,137.29179
8PY6CV,8PY6CV,1,21,-7,1,1,0,2,A,E,C,C,C,D,SR_X-7Y1,145.02571
8PY6CV,8PY6CV,2,21,-7,1,2,0,3,A,E,C,C,C,D,SR_X-7Y1,138.25995
8PY6CV,8PY6CV,2,22,-7,1,2,1,6,A,E,C,C,C,D,SR_X-7Y1,139.6996
8PY6CV,8PY6CV,2,23,-7,1,2,2,9,A,E,C,C,C,D,SR_X-7Y1,141.59637
8PY6CV,8PY6CV,2,24,-7,1,2,3,12,A,E,C,C,C,D,SR_X-7Y1,143.93221
8PY6CV,8PY6CV,5,8,-6,-3,2,3,12,A,E,A,D,A,E,SR_X-6Y-3,144.44054
8PY6CV,8PY6CV,4,9,-6,-2,1,0,2,A,E,A,D,B,E,SR_X-6Y-2,145.48312
8PY6CV,8PY6CV,3,11,-6,-2,0,2,7,A,E,A,D,B,E,SR_X-6Y-2,143.62238
8PY6CV,8PY6CV,4,10,-6,-2,1,1,5,A,E,A,D,B,E,SR_X-6Y-2,141.297
8PY6CV,8PY6CV,5,9,-6,-2,2,0,3,A,E,A,D,B,E,SR_X-6Y-2,139.74684
8PY6CV,8PY6CV,3,12,-6,-2,0,3,10,A,E,A,D,B,E,SR_X-6Y-2,140.33411
8PY6CV,8PY6CV,4,11,-6,-2,1,2,8,A,E,A,D,B,E,SR_X-6Y-2,137.46901
8PY6CV,8PY6CV,5,10,-6,-2,2,1,6,A,D,A,D,B,E,SR_X-6Y-2,135.38345
8PY6CV,8PY6CV,4,12,-6,-2,1,3,11,A,D,A,D,B,E,SR_X-6Y-2,134.02988
8PY6CV,8PY6CV,5,11,-6,-2,2,2,9,A,D,A,D,B,E,SR_X-6Y-2,131.3833
8PY6CV,8PY6CV,5,12,-6,-2,2,3,12,A,D,A,D,B,E,SR_X-6Y-2,127.78046
