MODULE,TEST,IP,REGION,PARTITION,INDEX,SI_AREA,STUCKAT_FAULTS,ATSPEED_FAULTS,SCAN_CELL_COUNT
SCN_CORE,CORE0,EXE,ICORE0,CORE0,1,100,8542510,8539150,125313
SCN_CORE,CORE0,FE,ICORE0,CORE0,2,100,8302982,8292640,205685
SCN_CORE,CORE0,FMAV0,ICORE0,CORE0,3,100,8668374,8668374,119130
SCN_CORE,CORE0,FMAV1,ICORE0,CORE0,4,100,8685306,8685306,118755
SCN_CORE,CORE0,MEU,ICORE0,CORE0,5,100,18860695,18840410,366099
SCN_CORE,CORE0,MSID,ICORE0,CORE0,6,100,12809336,12809336,181043
SCN_CORE,CORE0,OOO_INT,ICORE0,CORE0,7,100,16288323,16286230,157225
SCN_CORE,CORE0,OOO_VEC,ICORE0,CORE0,8,100,12042582,12042252,158407
SCN_CORE,CORE0,PMH,ICORE0,CORE0,9,100,1473826,1473826,46403
SCN_CORE,CORE0,EXE,ICORE1,CORE0,10,100,8542510,8539150,125313
SCN_CORE,CORE0,FE,ICORE1,CORE0,11,100,8302982,8292640,205685
SCN_CORE,CORE0,FMAV0,ICORE1,CORE0,12,100,8668374,8668374,119130
SCN_CORE,CORE0,FMAV1,ICORE1,CORE0,13,100,8685306,8685306,118755
SCN_CORE,CORE0,MEU,ICORE1,CORE0,14,100,18860695,18840410,366099
SCN_CORE,CORE0,MSID,ICORE1,CORE0,15,100,12809336,12809336,181043
SCN_CORE,CORE0,OOO_INT,ICORE1,CORE0,16,100,16288323,16286230,157225
SCN_CORE,CORE0,OOO_VEC,ICORE1,CORE0,17,100,12042582,12042252,158407
SCN_CORE,CORE0,PMH,ICORE1,CORE0,18,100,1473826,1473826,46403
SCN_CORE,CORE0,MLC,MLC,CORE0,19,100,14122189,14122112,332523
SCN_CORE,CORE0,PM,PM,CORE0,20,100,5733950,5584078,130271
SCN_CORE,CORE0,FLATCORE,FLATCORE,CORE0,21,100,211204007,210981238,3418914
SCN_CORE,CORE1,EXE,ICORE0,CORE1,1,100,8542510,8539150,125313
SCN_CORE,CORE1,FE,ICORE0,CORE1,2,100,8302982,8292640,205685
SCN_CORE,CORE1,FMAV0,ICORE0,CORE1,3,100,8668374,8668374,119130
SCN_CORE,CORE1,FMAV1,ICORE0,CORE1,4,100,8685306,8685306,118755
SCN_CORE,CORE1,MEU,ICORE0,CORE1,5,100,18860695,18840410,366099
SCN_CORE,CORE1,MSID,ICORE0,CORE1,6,100,12809336,12809336,181043
SCN_CORE,CORE1,OOO_INT,ICORE0,CORE1,7,100,16288323,16286230,157225
SCN_CORE,CORE1,OOO_VEC,ICORE0,CORE1,8,100,12042582,12042252,158407
SCN_CORE,CORE1,PMH,ICORE0,CORE1,9,100,1473826,1473826,46403
SCN_CORE,CORE1,EXE,ICORE1,CORE1,10,100,8542510,8539150,125313
SCN_CORE,CORE1,FE,ICORE1,CORE1,11,100,8302982,8292640,205685
SCN_CORE,CORE1,FMAV0,ICORE1,CORE1,12,100,8668374,8668374,119130
SCN_CORE,CORE1,FMAV1,ICORE1,CORE1,13,100,8685306,8685306,118755
SCN_CORE,CORE1,MEU,ICORE1,CORE1,14,100,18860695,18840410,366099
SCN_CORE,CORE1,MSID,ICORE1,CORE1,15,100,12809336,12809336,181043
SCN_CORE,CORE1,OOO_INT,ICORE1,CORE1,16,100,16288323,16286230,157225
SCN_CORE,CORE1,OOO_VEC,ICORE1,CORE1,17,100,12042582,12042252,158407
SCN_CORE,CORE1,PMH,ICORE1,CORE1,18,100,1473826,1473826,46403
SCN_CORE,CORE1,MLC,MLC,CORE1,19,100,14122189,14122112,332523
SCN_CORE,CORE1,PM,PM,CORE1,20,100,5733950,5584078,130271
SCN_CORE,CORE1,FLATCORE,FLATCORE,CORE1,21,100,211204007,210981238,3418914
SCN_CORE,CORE2,EXE,ICORE0,CORE2,1,100,8542510,8539150,125313
SCN_CORE,CORE2,FE,ICORE0,CORE2,2,100,8302982,8292640,205685
SCN_CORE,CORE2,FMAV0,ICORE0,CORE2,3,100,8668374,8668374,119130
SCN_CORE,CORE2,FMAV1,ICORE0,CORE2,4,100,8685306,8685306,118755
SCN_CORE,CORE2,MEU,ICORE0,CORE2,5,100,18860695,18840410,366099
SCN_CORE,CORE2,MSID,ICORE0,CORE2,6,100,12809336,12809336,181043
SCN_CORE,CORE2,OOO_INT,ICORE0,CORE2,7,100,16288323,16286230,157225
SCN_CORE,CORE2,OOO_VEC,ICORE0,CORE2,8,100,12042582,12042252,158407
SCN_CORE,CORE2,PMH,ICORE0,CORE2,9,100,1473826,1473826,46403
SCN_CORE,CORE2,EXE,ICORE1,CORE2,10,100,8542510,8539150,125313
SCN_CORE,CORE2,FE,ICORE1,CORE2,11,100,8302982,8292640,205685
SCN_CORE,CORE2,FMAV0,ICORE1,CORE2,12,100,8668374,8668374,119130
SCN_CORE,CORE2,FMAV1,ICORE1,CORE2,13,100,8685306,8685306,118755
SCN_CORE,CORE2,MEU,ICORE1,CORE2,14,100,18860695,18840410,366099
SCN_CORE,CORE2,MSID,ICORE1,CORE2,15,100,12809336,12809336,181043
SCN_CORE,CORE2,OOO_INT,ICORE1,CORE2,16,100,16288323,16286230,157225
SCN_CORE,CORE2,OOO_VEC,ICORE1,CORE2,17,100,12042582,12042252,158407
SCN_CORE,CORE2,PMH,ICORE1,CORE2,18,100,1473826,1473826,46403
SCN_CORE,CORE2,MLC,MLC,CORE2,19,100,14122189,14122112,332523
SCN_CORE,CORE2,PM,PM,CORE2,20,100,5733950,5584078,130271
SCN_CORE,CORE2,FLATCORE,FLATCORE,CORE2,21,100,211204007,210981238,3418914
SCN_CORE,CORE3,EXE,ICORE0,CORE3,1,100,8542510,8539150,125313
SCN_CORE,CORE3,FE,ICORE0,CORE3,2,100,8302982,8292640,205685
SCN_CORE,CORE3,FMAV0,ICORE0,CORE3,3,100,8668374,8668374,119130
SCN_CORE,CORE3,FMAV1,ICORE0,CORE3,4,100,8685306,8685306,118755
SCN_CORE,CORE3,MEU,ICORE0,CORE3,5,100,18860695,18840410,366099
SCN_CORE,CORE3,MSID,ICORE0,CORE3,6,100,12809336,12809336,181043
SCN_CORE,CORE3,OOO_INT,ICORE0,CORE3,7,100,16288323,16286230,157225
SCN_CORE,CORE3,OOO_VEC,ICORE0,CORE3,8,100,12042582,12042252,158407
SCN_CORE,CORE3,PMH,ICORE0,CORE3,9,100,1473826,1473826,46403
SCN_CORE,CORE3,EXE,ICORE1,CORE3,10,100,8542510,8539150,125313
SCN_CORE,CORE3,FE,ICORE1,CORE3,11,100,8302982,8292640,205685
SCN_CORE,CORE3,FMAV0,ICORE1,CORE3,12,100,8668374,8668374,119130
SCN_CORE,CORE3,FMAV1,ICORE1,CORE3,13,100,8685306,8685306,118755
SCN_CORE,CORE3,MEU,ICORE1,CORE3,14,100,18860695,18840410,366099
SCN_CORE,CORE3,MSID,ICORE1,CORE3,15,100,12809336,12809336,181043
SCN_CORE,CORE3,OOO_INT,ICORE1,CORE3,16,100,16288323,16286230,157225
SCN_CORE,CORE3,OOO_VEC,ICORE1,CORE3,17,100,12042582,12042252,158407
SCN_CORE,CORE3,PMH,ICORE1,CORE3,18,100,1473826,1473826,46403
SCN_CORE,CORE3,MLC,MLC,CORE3,19,100,14122189,14122112,332523
SCN_CORE,CORE3,PM,PM,CORE3,20,100,5733950,5584078,130271
SCN_CORE,CORE3,FLATCORE,FLATCORE,CORE3,21,100,211204007,210981238,3418914
SCN_UNCORE,UNCORE,ASL,ATOM0,UNCORE,1,100,359376,333660,12263
SCN_UNCORE,UNCORE,ASL,ATOM2,UNCORE,2,100,359376,333660,12263
SCN_UNCORE,UNCORE,ASR,ATOM1,UNCORE,3,100,795782,753128,20513
SCN_UNCORE,UNCORE,ASR,ATOM3,UNCORE,4,100,795782,753128,20513
SCN_UNCORE,UNCORE,CBOPAIRAS,ATOM01,UNCORE,5,100,11059941,10603514,307672
SCN_UNCORE,UNCORE,CBOPAIRAS,ATOM23,UNCORE,6,100,11059941,10603514,307672
SCN_UNCORE,UNCORE,CHANAS,ATOM01,UNCORE,7,100,747164,718121,21944
SCN_UNCORE,UNCORE,CHANAS,ATOM23,UNCORE,8,100,747164,718121,21944
SCN_UNCORE,UNCORE,BSL,CORE0,UNCORE,9,100,675165,604490,23129
SCN_UNCORE,UNCORE,BSL,CORE2,UNCORE,10,100,675165,604490,23129
SCN_UNCORE,UNCORE,BSR,CORE1,UNCORE,11,100,1097359,984234,31609
SCN_UNCORE,UNCORE,BSR,CORE3,UNCORE,12,100,1097359,984234,31609
SCN_UNCORE,UNCORE,CBOPAIRBS0,CORE0,UNCORE,13,100,10725708,10279964,306485
SCN_UNCORE,UNCORE,CBOPAIRBS1,CORE1,UNCORE,14,100,10725708,10279964,306485
SCN_UNCORE,UNCORE,CBOPAIRBS0,CORE2,UNCORE,15,100,10725708,10279964,306485
SCN_UNCORE,UNCORE,CBOPAIRBS1,CORE3,UNCORE,16,100,10725708,10279964,306485
SCN_UNCORE,UNCORE,CHANBS,CORE01,UNCORE,17,100,1088694,1055356,30585
SCN_UNCORE,UNCORE,CHANBS,CORE23,UNCORE,18,100,1088694,1055356,30585
SCN_UNCORE,UNCORE,CCU,D2D,UNCORE,19,100,1890725,1184555,73607
SCN_UNCORE,UNCORE,DMU,D2D,UNCORE,20,100,6333205,6050190,194513
SCN_UNCORE,UNCORE,FOV0,D2D,UNCORE,21,100,3644347,3458655,113642
SCN_UNCORE,UNCORE,FOV1,D2D,UNCORE,22,100,3360460,3185514,109885
SCN_UNCORE,UNCORE,FUSE,D2D,UNCORE,23,100,981973,897447,38756
SCN_UNCORE,UNCORE,MISC,D2D,UNCORE,24,100,2542295,2391946,88584
SCN_UNCORE,UNCORE,SANTA,D2D,UNCORE,25,100,7458591,7078675,317604
SCN_UNCORE,UNCORE,BLLC_CB0AS,ATOM0,UNCORE,26,100,363035,341566,10408
SCN_UNCORE,UNCORE,BLLC_CB1AS,ATOM0,UNCORE,27,100,364348,336988,10408
SCN_UNCORE,UNCORE,BLLC_CB0AS,ATOM1,UNCORE,28,100,363035,341566,10408
SCN_UNCORE,UNCORE,BLLC_CB1AS,ATOM1,UNCORE,29,100,364348,336988,10408
SCN_UNCORE,UNCORE,BLLC_CB0AS,ATOM2,UNCORE,30,100,363035,341566,10408
SCN_UNCORE,UNCORE,BLLC_CB1AS,ATOM2,UNCORE,31,100,364348,336988,10408
SCN_UNCORE,UNCORE,BLLC_CB0AS,ATOM3,UNCORE,32,100,363035,341566,10408
