WAT naming,Device naming,Spec High,Target,Spec Low,Unit,NVL816,Naming1,Naming2,Naming
Vts_RNA4e,Vts H130_W19 eLVN,,97,,mV,,H130_W19,eLV,Vts H130_W19 eLVN
Isat_RNA4e,Isat H130_W19 eLVN,,5538,,uA/um,,H130_W19,eLV,Isat H130_W19 eLVN
Ioff_RNA4e,Ioff H130_W19 eLVN,,0.000000127,,A/um,,H130_W19,eLV,Ioff H130_W19 eLVN
Vts_RPA4e,Vts H130_W19 eLVP,,91,,mV,,H130_W19,eLV,Vts H130_W19 eLVP
Isat_RPA4e,Isat H130_W19 eLVP,,5107,,uA/um,,H130_W19,eLV,Isat H130_W19 eLVP
Ioff_RPA4e,Ioff H130_W19 eLVP,,0.000000163,,A/um,,H130_W19,eLV,Ioff H130_W19 eLVP
Vts_RNA4u,Vts H130_W19 uLVN,,131,,mV,V,H130_W19,uLV,Vts H130_W19 uLVN
Isat_RNA4u,Isat H130_W19 uLVN,,5154,,uA/um,V,H130_W19,uLV,Isat H130_W19 uLVN
Ioff_RNA4u,Ioff H130_W19 uLVN,,0.0000000402,,A/um,V,H130_W19,uLV,Ioff H130_W19 uLVN
Vts_RPA4u,Vts H130_W19 uLVP,,132,,mV,V,H130_W19,uLV,Vts H130_W19 uLVP
Isat_RPA4u,Isat H130_W19 uLVP,,4737,,uA/um,V,H130_W19,uLV,Isat H130_W19 uLVP
Ioff_RPA4u,Ioff H130_W19 uLVP,,0.000000042,,A/um,V,H130_W19,uLV,Ioff H130_W19 uLVP
Vts_RNA4A,Vts H130_W19 uLLN,,168,,mV,V,H130_W19,uLL,Vts H130_W19 uLLN
Isat_RNA4A,Isat H130_W19 uLLN,,4679,,uA/um,V,H130_W19,uLL,Isat H130_W19 uLLN
Ioff_RNA4A,Ioff H130_W19 uLLN,,0.0000000115,,A/um,V,H130_W19,uLL,Ioff H130_W19 uLLN
Vts_RPA4A,Vts H130_W19 uLLP,,167,,mV,V,H130_W19,uLL,Vts H130_W19 uLLP
Isat_RPA4A,Isat H130_W19 uLLP,,4404,,uA/um,V,H130_W19,uLL,Isat H130_W19 uLLP
Ioff_RPA4A,Ioff H130_W19 uLLP,,0.0000000135,,A/um,V,H130_W19,uLL,Ioff H130_W19 uLLP
Vts_RNA4L,Vts H130_W19 LVTN,,204,,mV,V,H130_W19,LVT,Vts H130_W19 LVTN
Isat_RNA4L,Isat H130_W19 LVTN,,4144,,uA/um,V,H130_W19,LVT,Isat H130_W19 LVTN
Ioff_RNA4L,Ioff H130_W19 LVTN,,3.65e-9,,A/um,V,H130_W19,LVT,Ioff H130_W19 LVTN
Vts_RPA4L,Vts H130_W19 LVTP,,203,,mV,V,H130_W19,LVT,Vts H130_W19 LVTP
Isat_RPA4L,Isat H130_W19 LVTP,,4050,,uA/um,V,H130_W19,LVT,Isat H130_W19 LVTP
Ioff_RPA4L,Ioff H130_W19 LVTP,,4.64e-9,,A/um,V,H130_W19,LVT,Ioff H130_W19 LVTP
Vts_RNA4B,Vts H130_W19 LLLN,,240,,mV,V,H130_W19,LLL,Vts H130_W19 LLLN
Isat_RNA4B,Isat H130_W19 LLLN,,3659,,uA/um,V,H130_W19,LLL,Isat H130_W19 LLLN
Ioff_RNA4B,Ioff H130_W19 LLLN,,1.28e-9,,A/um,V,H130_W19,LLL,Ioff H130_W19 LLLN
Vts_RPA4B,Vts H130_W19 LLLP,,236,,mV,V,H130_W19,LLL,Vts H130_W19 LLLP
Isat_RPA4B,Isat H130_W19 LLLP,,3619,,uA/um,V,H130_W19,LLL,Isat H130_W19 LLLP
Ioff_RPA4B,Ioff H130_W19 LLLP,,2.06e-9,,A/um,V,H130_W19,LLL,Ioff H130_W19 LLLP
Vts_RNA4S,Vts H130_W19 SVTN,,273,,mV,V,H130_W19,SVT,Vts H130_W19 SVTN
Isat_RNA4S,Isat H130_W19 SVTN,,3143,,uA/um,V,H130_W19,SVT,Isat H130_W19 SVTN
Ioff_RNA4S,Ioff H130_W19 SVTN,,6.04e-10,,A/um,V,H130_W19,SVT,Ioff H130_W19 SVTN
Vts_RPA4S,Vts H130_W19 SVTP,,274,,mV,V,H130_W19,SVT,Vts H130_W19 SVTP
Isat_RPA4S,Isat H130_W19 SVTP,,3136,,uA/um,V,H130_W19,SVT,Isat H130_W19 SVTP
Ioff_RPA4S,Ioff H130_W19 SVTP,,1.13e-9,,A/um,V,H130_W19,SVT,Ioff H130_W19 SVTP
Vts_RNJ4e,Vts H156_W32 eLVN,,81,,mV,,H156_W32,eLV,Vts H156_W32 eLVN
Isat_RNJ4e,Isat H156_W32 eLVN,,5007,,uA/um,,H156_W32,eLV,Isat H156_W32 eLVN
Ioff_RNJ4e,Ioff H156_W32 eLVN,,0.000000222,,A/um,,H156_W32,eLV,Ioff H156_W32 eLVN
Vts_RPJ4e,Vts H156_W32 eLVP,,79,,mV,,H156_W32,eLV,Vts H156_W32 eLVP
Isat_RPJ4e,Isat H156_W32 eLVP,,4580,,uA/um,,H156_W32,eLV,Isat H156_W32 eLVP
Ioff_RPJ4e,Ioff H156_W32 eLVP,,0.000000246,,A/um,,H156_W32,eLV,Ioff H156_W32 eLVP
Vts_RNJ4u,Vts H156_W32 uLVN,,116,,mV,V,H156_W32,uLV,Vts H156_W32 uLVN
Isat_RNJ4u,Isat H156_W32 uLVN,,4668,,uA/um,V,H156_W32,uLV,Isat H156_W32 uLVN
Ioff_RNJ4u,Ioff H156_W32 uLVN,,0.0000000681,,A/um,V,H156_W32,uLV,Ioff H156_W32 uLVN
Vts_RPJ4u,Vts H156_W32 uLVP,,121,,mV,V,H156_W32,uLV,Vts H156_W32 uLVP
Isat_RPJ4u,Isat H156_W32 uLVP,,4252,,uA/um,V,H156_W32,uLV,Isat H156_W32 uLVP
